IDCAPTURA,IDVISITA,FRENTES CORE SECO,FRENTES LIGHT SECO,FRENTES CARBONATADA SECO,FRENTES CORE FRIO,FRENTES LIGHT FRIO,FRENTES CARBONATADA FRIO,PRECIO CORE,MATERIAL POP,EXHIBICION ADICIONAL,PROMOCION,PROMOCION SEÑALIZADA,SOS SECO,SOS FRIO,SOS EXHIBICIONES ADICIONALES
41946808,4552087,34,,,8,,,19.5,NO,SI,NO,,33.9669,78.8684,
41946809,4552092,12,,,,,,15,NO,NO,NO,,13.1745,,
41946810,4552093,20,4,,,,,18.75,NO,NO,NO,,21.1214,,
41946811,4552095,45,,,30,2,20,19.85,NO,SI,NO,,,38.7574,55.6691
41946812,4552097,16,,,,,,19.5,NO,SI,NO,,8.2252,,
41946813,4552106,16,,,,,,19.9,NO,NO,NO,,17.6904,,
41946814,4552109,12,4,6,5,1,4,20.8,,,,,,,
41946815,4552112,6,,,,,,14.25,,,SI,SI,30.3518,,
41946816,4552116,30,10,4,45,20,3,14.25,NO,NO,NO,,36.6366,,
41946817,4552117,2,,,,,,14.85,NO,NO,SI,SI,,,
41946818,4552118,,,,19,2,2,20.3,SI,NO,NO,,,12.971,
41946819,4552126,4,,,,,,14.26,NO,NO,NO,,2.5912,,
41946820,4552131,11,1,,11,1,,18.75,NO,NO,NO,,,,
41946821,4552140,13,,,,,,15.65,NO,NO,SI,SI,12.5708,,
41946822,4552141,36,,,,,,19.5,SI,SI,NO,,28.7557,,
41946823,4552149,18,2,,,,,16,NO,NO,NO,,,,
41946824,4552156,14,2,,,,,14,NO,NO,NO,,17.0299,,
41946825,4552163,,,,17,2,,18.75,NO,NO,NO,,,9.217,
41946826,4552175,10,1,,,,,19.6,NO,NO,NO,,,,
41946827,4552176,,,,16,4,,19.6,NO,,NO,,,,
41946828,4552183,,,,,,,,NO,NO,NO,,,,
41946829,4552184,9,4,3,,,,20.8,,,,,,,
41946830,4552185,20,2,4,,,,20.8,,,,,,,
41946831,4552186,13,,,,,,15.65,SI,NO,NO,,7.3702,,
41946832,4552192,9,2,4,,,,19.5,NO,NO,SI,NO,4.904,,
41946833,4552194,13,6,9,,,,21,NO,NO,NO,,,,
41946834,4552206,18,,,,,,19.5,NO,SI,NO,,,,
41946835,4552210,,,,,,,,NO,NO,NO,,,,
41946836,4552226,9,,,,,,15.65,SI,NO,NO,,5.035,,
41946837,4552249,,,,8,1,2,22.1,SI,NO,NO,,,6.9049,
41946838,4552252,17,,5,,,,16.2,NO,NO,NO,,,,
41946839,4552272,,,,,,,15,NO,NO,NO,,,,
41946840,4552273,,,,,,,18,NO,NO,NO,,,,
41946841,4552278,,,,17,2,,18.75,NO,NO,NO,,,,
41946842,4552326,,,,13,2,,19.6,NO,NO,NO,,,7.1811,
41946843,4552333,13,2,6,,,,20.4,SI,NO,NO,,15.7407,,
41946844,4552336,56,4,,86,4,,18.75,SI,SI,NO,,16.4844,10.9718,
41946845,4552358,29,11,3,,,,15,SI,NO,NO,,26.4359,,
41946846,4552367,36,4,4,34,6,8,19.6,NO,NO,NO,,11.7829,25.5809,
41946847,4552375,,,,32,1,7,19.5,NO,,,,,,
41946848,4552386,12,1,,12,2,,19.6,SI,NO,NO,,,,
41946849,4552396,,,,34,6,,18.75,SI,NO,NO,,,28.8436,
41946850,4552401,,,,14,3,,18.75,NO,NO,NO,,,66.2304,
41946851,4552407,4,20,12,,,,14.25,SI,,NO,,25.0323,,
41946852,4552412,,,,37,3,,18.75,SI,NO,NO,,,21.4882,
41946853,4552423,,,,4,2,,19.6,NO,NO,NO,,3.1889,,
41946854,4552424,10,,,,,,15,NO,NO,SI,SI,18.4479,,
41946855,4552439,,,,5,1,,19.6,NO,NO,NO,,,4.4057,
41946856,4552443,9,3,2,9,5,2,19.6,NO,NO,NO,,7.675,26.2682,
41946857,4552446,13,,,,,,14,,,,,,,
41946858,4552451,12,10,3,,,,19.6,NO,NO,NO,,11.1277,,
41946859,4552458,,,,,,,,NO,NO,NO,,,,
41946860,4552470,22,2,,,,,19.5,NO,NO,SI,SI,10.9675,,
41946861,4552480,,,,21,6,7,22.9,NO,NO,NO,,,12.9886,
41946862,4552493,,,,,,,,NO,NO,NO,,,,
41946863,4552501,20,,,20,,,19.6,SI,NO,NO,,5.8597,,
41946864,4552502,11,2,4,,,,15,NO,NO,NO,,7.7654,,
41946865,4552512,32,,9,,,,14.85,NO,NO,NO,,28.8004,,
41946866,4552521,10,2,4,,,,19.6,NO,,,,,,
41946867,4552522,10,3,2,,,,19.6,NO,NO,NO,,8.407,,
41946868,4552524,,,,,,,,NO,NO,NO,,,,
41946869,4552533,9,,,,,,15,SI,NO,SI,SI,11.7647,,
41946870,4552537,4,1,,7,2,2,18.75,,,,,,,
41946871,4552551,50,12,,30,4,,18.75,NO,NO,NO,,44.7962,14.2467,
41946872,4552558,11,3,,8,,,18.75,SI,NO,NO,,11.8387,4.5388,
41946873,4552559,,,,11,,,19.6,NO,NO,NO,,,5.0594,
41946874,4552564,6,,,,,,19.6,NO,NO,NO,,15.1337,,
41946875,4552568,,,,10,2,,19.6,NO,NO,NO,,,8.6721,
41946876,4552576,6,1,3,,,,19.5,NO,NO,NO,,33.1697,,
41946877,4552579,,,,,,,19.5,NO,NO,NO,,,,
41946878,4552581,,,,19,2,3,19.6,NO,NO,NO,,,27.301,
41946879,4552584,,,,35,3,,18.75,NO,NO,SI,SI,,14.6017,
41946880,4552592,,,,22,,,19.6,NO,NO,NO,,,,
41946881,4552593,,,,,,,,NO,NO,NO,,,,
41946882,4552597,4,1,,8,2,,19.6,NO,SI,NO,,,5.5478,
41946883,4552608,22,,,20,3,,18.75,NO,NO,NO,,25.559,,
41946884,4552611,,,,10,2,,19.6,NO,NO,NO,,,7.1811,
41946885,4552612,,,,13,,,20.4,SI,NO,NO,,,15.9866,
