IDTIENDA,SEGMENTO,SUBSEGMENTO,GRUPO,CADENA,IDTIENDACADENA,NOMBRE,FORMATO,CLASIFICACION,CIUDAD,ESTADO,AREA NIELSEN,REGION
14989,AUTOSERVICIOS,CADENAS REGIONALES,ARTELI,ARTELI,24,GONZALEZ,AKA SUPERBODEGA,A,TAMPICO,TAMAULIPAS,AREA 2,AREA II  NORTE
14990,AUTOSERVICIOS,CADENAS REGIONALES,ARTELI,ARTELI,27,HUEJUTLA,AKA SUPERBODEGA,A,SIN ASIGNAR,HIDALGO,AREA 4,AREA IV  CENTRO
14991,AUTOSERVICIOS,CADENAS REGIONALES,ARTELI,ARTELI,28,PALAFOX,AKA SUPERBODEGA,AA,TAMPICO,TAMAULIPAS,AREA 2,AREA II  NORTE
14992,AUTOSERVICIOS,CADENAS REGIONALES,ARTELI,ARTELI,29,8 LEGUAS,AKA SUPERBODEGA,A,TAMPICO,TAMAULIPAS,AREA 2,AREA II  NORTE
14993,AUTOSERVICIOS,CADENAS REGIONALES,ARTELI,ARTELI,30,HIPODROMO,AKA SUPERBODEGA,A,TAMPICO,TAMAULIPAS,AREA 2,AREA II  NORTE
14994,AUTOSERVICIOS,CADENAS REGIONALES,ARTELI,ARTELI,33,LAS TORRES,ARTELI EXPRESS,A,TAMPICO,TAMAULIPAS,AREA 2,AREA II  NORTE
14995,AUTOSERVICIOS,CADENAS REGIONALES,ARTELI,ARTELI,34,LAS HACIENDAS,AKA SUPERBODEGA,A,TAMPICO,TAMAULIPAS,AREA 2,AREA II  NORTE
14996,AUTOSERVICIOS,CADENAS REGIONALES,ARTELI,ARTELI,35,PUEBLO VIEJO,AKA SUPERBODEGA,A,SIN ASIGNAR,VERACRUZ,AREA 6,AREA VI  SURESTE
14997,AUTOSERVICIOS,CADENAS REGIONALES,ARTELI,ARTELI,37,NI?OS HEROES,AKA SUPERBODEGA,AA,TAMPICO,TAMAULIPAS,AREA 2,AREA II  NORTE
14998,AUTOSERVICIOS,CADENAS REGIONALES,ARTELI,ARTELI,38,MERCADO MADERO,AKA SUPERBODEGA,A,TAMPICO,TAMAULIPAS,AREA 2,AREA II  NORTE
14999,AUTOSERVICIOS,CADENAS REGIONALES,ARTELI,ARTELI,42,ARBOLEDAS,AKA SUPERBODEGA,A,SIN ASIGNAR,SAN LUIS POTOSI,AREA 2,AREA II  NORTE
15000,AUTOSERVICIOS,CADENAS REGIONALES,ARTELI,ARTELI,43,ARBOLEDAS,ARTELI,AAA,TAMPICO,TAMAULIPAS,AREA 2,AREA II  NORTE
